species,trial,date,hhmmss,treatment,replicate,E,Emm,A,Ca,Ci,gsw,TleafEB,TleafCnd,RHcham,VPDleaf,LatHFlux,SenHFlux,Qin,S,Tair,Tleaf
S,1,20211019 10:31:18,10:31:18,c,1,0.000736357,0.736356888,5.633142851,416.46,298.3133059,0.081122773,21.44197962,20.6366,65.17758552,0.912527663,-32.47333874,-84.76312503,1500,3,19.9867,20.6366
S,1,20211019 10:38:41,10:38:41,c,2,0.001643244,1.643243941,7.130388189,415.05,346.6878374,0.188270832,21.17808721,20.5361,65.06731527,0.898780889,-72.46705781,-69.5391558,1500,3,20,20.5361
S,1,20211019 10:43:51,10:43:51,c,3,0.000278548,0.278548262,3.4791034,417.624,225.849565,0.029951218,21.60497795,20.6968,65.04384381,0.924118789,-12.28397838,-90.92925043,1500,3,19.9932,20.6968
S,1,20211019 10:51:07,10:51:07,c,4,0.000744201,0.744201067,5.233552896,416.596,308.4822563,0.082778356,21.46231698,20.5659,65.02546101,0.904186767,-32.81926705,-73.25777954,1500,3,20.0004,20.5659
S,1,20211019 10:57:38,10:57:38,c,5,0.000784692,0.784691743,3.584633645,417.622,343.6491178,0.085406681,21.44289019,20.7011,65.03639474,0.924366075,-34.60490588,-91.29682745,1499.99,3,19.9993,20.7011
S,1,20211019 11:04:34,11:04:34,c,6,0.000443575,0.443575218,4.89573732,416.976,246.4338511,0.047759361,21.54732041,20.7214,65.11883089,0.926566251,-19.56166711,-94.812828,1499.99,3,19.988,20.7214
S,1,20211019 11:09:58,11:09:58,c,7,0.000720626,0.720626319,6.562188747,415.911,277.2075047,0.079815403,21.4588014,20.5812,65.01947225,0.907348124,-31.77962067,-76.41947498,1500,3,19.9927,20.5812
S,1,20211019 11:15:48,11:15:48,c,8,0.000310721,0.310720952,3.250356423,418.003,256.9307294,0.033550454,21.60178012,20.6872,65.08814431,0.920903244,-13.70279397,-88.73824969,1499.99,3,20.0009,20.6872
S,1,20211019 11:24:49,11:24:49,c,9,0.00123105,1.23104958,7.783128015,414.999,317.7732655,0.139219279,21.30326473,20.5239,64.92004958,0.900544257,-54.28928649,-68.29417794,1500,3,19.9986,20.5239
S,1,20211019 11:32:22,11:32:22,c,10,0.002000273,2.000273218,11.46094941,412.674,332.5948865,0.256239226,21.06930418,19.9999,65.21964818,0.816193145,-88.21204893,-0.051688709,1500,3,19.9995,19.9999
S,1,20211019 11:47:17,11:47:17,a,1,0.004117442,4.117441865,12.32159666,411.572,369.4763921,0.591066555,20.39998601,19.7324,65.0855845,0.781032067,-181.5791862,34.10032583,1500,3,19.9965,19.7324
S,1,20211019 11:53:59,11:53:59,a,2,0.003105807,3.105806777,11.28787547,412.478,360.0588416,0.412112756,20.71927022,19.942,64.94784525,0.814293298,-136.9660789,7.269414346,1500.01,3,19.9982,19.942
S,1,20211019 11:56:59,11:56:59,a,3,0.004400272,4.400271545,15.13074406,409.845,360.9992334,0.618262689,20.2936818,19.8505,64.97628987,0.802187669,-194.0519752,16.62918271,1499.99,3,19.9793,19.8505
S,1,20211019 12:00:14,12:00:14,a,4,0.004221357,4.221357264,11.75566106,411.916,371.3932576,0.591066338,20.36906798,19.8264,64.81790547,0.800639538,-186.1618554,22.19376171,1500,3,19.9983,19.8264
S,1,20211019 12:02:33,12:02:33,a,5,0.004140756,4.140755531,14.2424786,410.471,360.7078786,0.566441006,20.38633364,19.9147,64.75104057,0.815928114,-182.6073189,9.392489669,1500,3,19.9879,19.9147
S,1,20211019 12:05:49,12:05:49,a,6,0.00458246,4.582460363,16.07415098,409.175,359.9328193,0.654197317,20.23863794,19.8237,65.10163821,0.79518194,-202.086502,20.35991115,1500,3,19.9815,19.8237
S,1,20211019 12:10:40,12:10:40,a,7,0.003749511,3.749511482,14.47123135,410.395,352.7879612,0.483792107,20.52235466,20.1598,64.76823455,0.84978372,-165.3534564,-20.2396522,1500,3,20.0031,20.1598
S,1,20211019 12:16:24,12:16:24,a,8,0.002967007,2.967006507,12.32104819,411.88,351.0998584,0.380830609,20.75446653,20.0623,64.80112884,0.836273497,-130.8449869,-9.702190788,1499.99,3,19.987,20.0623
S,1,20211019 12:18:26,12:18:26,a,9,0.004077717,4.077716856,12.22088751,411.669,367.7153827,0.557474021,20.36580346,19.8505,64.59948425,0.813492199,-179.8273133,13.33015948,1500.01,3,19.9529,19.8505
S,1,20211019 12:25:29,12:25:29,a,10,0.004054292,4.054292483,16.09412256,409.381,351.8301406,0.542831279,20.42010461,20.041,64.95159153,0.828754848,-178.7942985,-5.753945972,1500,3,19.9964,20.041
S,1,20211026 10:37:16,10:37:16,a,1,0.003641118,3.641118402,11.07029812,412.28,362.8648876,0.439793157,20.5449486,20.3754,64.74268897,0.884080247,-160.5733215,-49.85322925,1499.99,3,19.9828,20.3754
S,1,20211026 11:18:42,11:18:42,a,2,0.002794058,2.794058481,11.41857732,412.496,348.5419245,0.333094144,20.7673063,20.2389,64.42329478,0.875695707,-123.217979,-38.49822864,1500,3,19.9368,20.2389
S,1,20211026 10:49:54,10:49:54,a,3,0.003650106,3.650105888,9.467128476,413.585,370.6885899,0.442569013,20.56279265,20.3305,64.49605769,0.881234104,-160.9696697,-41.50305098,1500,3,20.0039,20.3305
S,1,20211026 10:55:14,10:55:14,a,4,0.002603272,2.603272304,6.524301025,415.404,372.5732707,0.29884134,20.90781645,20.5196,64.73578854,0.902163795,-114.8043086,-63.91355823,1500.01,3,20.0205,20.5196
S,1,20211026 10:57:14,10:57:14,a,5,0.004216502,4.216502068,14.02420053,410.486,361.0279754,0.56325696,20.34828904,19.9499,64.84480825,0.820388208,-185.9477412,2.725645446,1499.99,3,19.9713,19.9499
S,1,20211026 11:03:05,11:03:05,a,6,0.00390752,3.907519649,11.33016891,412.226,368.2746428,0.516465096,20.45040614,19.9578,64.84270842,0.821422571,-172.3216165,1.927988458,1500,3,19.973,19.9578
S,1,20211026 11:05:25,11:05:25,a,7,0.003676085,3.676085134,12.0007798,411.834,361.3961763,0.465455212,20.50595002,19.971,63.84552148,0.848290741,-162.1153544,-1.93334693,1500.01,3,19.9558,19.971
S,1,20211026 11:07:39,11:07:39,a,8,0.003173569,3.17356868,11.75750105,412.093,357.8864782,0.414967675,20.6734633,19.8115,64.35249761,0.812750605,-139.9543788,19.21389228,1500,3,19.9626,19.8115
S,1,20211026 11:09:58,11:09:58,a,9,0.004690511,4.690511386,15.87741241,409.323,360.3928058,0.653479085,20.19688668,19.805,64.7809775,0.800957419,-206.8515521,21.22001164,1500,3,19.9714,19.805
S,1,20211026 11:12:35,11:12:35,a,10,0.004393099,4.393098547,11.29823998,412.042,374.2263479,0.619323022,20.28643522,19.7061,64.81663601,0.786513571,-193.7356459,32.95782849,1499.99,3,19.9653,19.7061
S,1,20211030 11:32:01,11:32:01,c,1,0.002225152,2.225151792,7.969378316,414.663,346.4512688,0.215718343,26.05101364,24.7973,65.90276073,1.040230142,-98.12919403,31.75485397,1500,3,25.0458,24.7973
S,1,20211030 10:51:31,10:51:31,c,2,0.000867865,0.867865404,5.934743186,416.261,278.7243962,0.073623442,26.45215663,25.2887,65.49507397,1.150797081,-38.2728643,-35.22779559,1500,3,25.012,25.2887
S,1,20211030 11:04:28,11:04:28,c,3,0.001666636,1.666636102,7.424295665,415.146,338.7308235,0.174506816,26.18160713,24.1914,65.25655385,0.954993137,-73.49865211,102.7398911,1500,3,24.9971,24.1914
S,1,20211030 11:27:08,11:27:08,c,4,0.001644854,1.644853996,5.963539993,416.003,338.0016632,0.138819034,26.18821562,25.334,65.10107756,1.174295716,-72.53806122,-43.25391678,1500,3,24.9939,25.334
S,1,20211030 11:16:07,11:16:07,c,5,0.00157275,1.572750156,6.887737324,415.512,326.7074712,0.138370329,26.22301428,25.134,65.36403837,1.1264437,-69.35828186,-16.63069273,1500,3,25.0029,25.134
S,1,20211030 10:12:02,10:12:02,c,6,0.001361161,1.361160774,4.980633712,417.924,341.8569469,0.118395184,26.32074366,25.2227,65.52562907,1.134135803,-60.02719011,-23.71916723,1500,3,25.0362,25.2227
S,1,20211030 10:33:50,10:33:50,c,7,0.001243406,1.243405968,7.882917244,414.985,296.7729747,0.11529999,26.31459806,24.6457,64.48165578,1.063749858,-54.83420321,44.08850024,1500,3,24.9924,24.6457
S,1,20211030 10:40:44,10:40:44,c,8,0.000546168,0.546167626,3.546778155,417.752,277.754818,0.043075452,26.54664964,24.6618,59.25693157,1.231060237,-24.08599229,44.17865177,1500.01,3,25.0079,24.6618
S,1,20211030 10:16:45,10:16:45,c,9,0.001646298,1.646298397,5.608993514,415.837,342.0874046,0.13899739,26.21662197,25.18,64.05628973,1.174163591,-72.60175929,-19.77452074,1500,3,25.0248,25.18
S,1,20211030 10:22:59,10:22:59,c,10,0.000844621,0.844621343,4.770751214,416.88,298.9926906,0.069820976,26.44653523,25.4262,65.47217327,1.179781716,-37.24780124,-54.44952207,1499.99,3,24.9983,25.4262
S,1,20211102 11:25:48,11:25:48,a,1,0.002254946,2.254946029,8.159472757,414.517,357.5477687,0.266939144,20.98771482,20.4009,64.6414825,0.888471716,-99.44311987,-51.79680615,1500,3,20.0016,20.4009
S,1,20211102 11:16:34,11:16:34,a,2,0.00173016,1.730159781,6.384357899,415.696,354.8032469,0.192303446,21.14327084,20.6818,64.67121528,0.930850323,-76.30004636,-89.50584167,1499.99,3,19.9905,20.6818
S,1,20211102 11:21:03,11:21:03,a,3,0.001678065,1.678065272,5.924590014,416.045,360.0658964,0.195189473,21.16076531,20.4221,64.73906296,0.890206538,-74.00267852,-55.68352616,1500,3,19.9923,20.4221
S,1,20211102 11:40:48,11:40:48,a,4,0.001762905,1.762904522,10.15024852,413.48,327.0630177,0.208213843,21.1431443,20.3928,64.97974528,0.879113368,-77.74408941,-50.5075348,1500,3,20.0039,20.3928
S,1,20211102 11:30:15,11:30:15,a,5,0.002381213,2.381213046,10.96417297,412.834,345.3019625,0.297559749,20.94171235,20.139,64.76801894,0.847184009,-105.0114953,-18.3050953,1499.99,3,19.9984,20.139
S,1,20211102 11:50:00,11:50:00,a,6,0.002302737,2.302737346,7.398279291,415.004,370.1678631,0.314577322,20.97280247,19.6742,64.82889268,0.778091612,-101.5507169,42.76781226,1500,3,20.0033,19.6742
S,1,20211102 11:54:05,11:54:05,a,7,0.002530765,2.530765401,11.58004077,412.472,345.8022931,0.319900742,20.88536055,20.0846,64.71555056,0.841749667,-111.6067542,-12.94220704,1500,3,19.9847,20.0846
S,1,20211102 11:35:20,11:35:20,a,8,0.001053818,1.053818161,7.951632774,414.936,300.6269663,0.119319287,21.36198927,20.5635,65.22919459,0.899036748,-46.47338091,-73.1178027,1500,3,20.0005,20.5635
S,1,20211102 11:45:25,11:45:25,a,9,0.003048746,3.048746392,12.26475431,411.908,354.6867636,0.405436139,20.73698585,19.9352,64.88191881,0.814459312,-134.4497159,8.748950241,1500,3,20.0024,19.9352
S,1,20211102 11:59:59,11:59:59,a,10,0.001254549,1.254549069,6.833007025,415.563,340.2475578,0.160128789,21.29426387,19.9145,65.17968031,0.805119217,-55.32561396,10.53192253,1500,3,19.9956,19.9145
S,1,20211102 12:09:23,12:09:23,c,1,0.000459405,0.459405487,2.467058338,418.367,335.9732587,0.051798823,21.55689564,20.4307,64.79463273,0.889193551,-20.25978198,-55.32743446,1500,3,20.0028,20.4307
S,1,20211102 12:14:43,12:14:43,c,2,0.000240316,0.240315746,1.355411654,419.153,334.4266102,0.027453782,21.60337611,20.357,65.08843849,0.872709396,-10.59792439,-47.90860843,1500,3,19.9885,20.357
S,1,20211102 12:19:30,12:19:30,c,3,0.000308122,0.308121902,1.153081056,419.234,357.4369354,0.033168415,21.57223516,20.7075,65.05293863,0.927079039,-13.58817589,-94.89044378,1500,3,19.9767,20.7075
S,1,20211102 12:23:56,12:23:56,c,4,0.000219649,0.219648804,0.955324019,419.403,352.8195274,0.025118118,21.61187972,20.3545,65.1269826,0.871179815,-9.686512267,-47.25362567,1500,3,19.9912,20.3545
S,1,20211102 12:30:42,12:30:42,c,5,0.000525567,0.525567318,3.445879132,417.822,314.8796967,0.05718871,21.5265344,20.6755,64.96715667,0.922072882,-23.17751872,-87.76717534,1500,3,19.9999,20.6755
S,1,20211102 12:36:46,12:36:46,c,6,0.00029144,0.291439929,0.958491688,419.355,364.9687629,0.031758094,21.59439466,20.6759,65.27654785,0.915318772,-12.85250088,-88.4777406,1500,3,19.9952,20.6759
S,1,20211102 12:39:46,12:39:46,c,7,0.000398165,0.398164839,1.661414286,418.953,349.4704032,0.042129467,21.56005629,20.8035,64.87494365,0.944802593,-17.5590694,-105.5918527,1500,3,19.9871,20.8035
S,1,20211102 12:44:42,12:44:42,c,8,0.000319882,0.31988151,1.638855983,418.909,339.5256123,0.035727717,21.59487151,20.5021,65.07278337,0.893760127,-14.10677458,-65.23038408,1500,3,19.998,20.5021
S,1,20211102 12:49:27,12:49:27,c,9,0.000605836,0.605835831,3.459201077,417.744,327.639351,0.066288489,21.46795128,20.6384,65.00485663,0.91849003,-26.71736014,-87.10377513,1500.01,3,19.9693,20.6384
S,1,20211102 12:56:08,12:56:08,c,10,0.00057813,0.57812984,3.611971709,417.682,320.6439959,0.063866014,21.43812562,20.5556,65.01621773,0.909198321,-25.49552594,-81.16562421,1500,3,19.9332,20.5556
S,2,20211109 11:00:28,11:00:28,a,1,0.003023986,3.023985621,9.943546755,413.021,369.2280635,0.441918109,20.74265775,19.5131,65.29623021,0.744982857,-133.3577659,62.32162539,1500,3,19.9953,19.5131
S,2,20211109 11:05:06,11:05:06,a,2,0.001699374,1.699374116,9.303073496,413.968,330.3848393,0.197649219,21.17458353,20.4683,65.07258399,0.887842847,-74.94239853,-59.41689466,1499.96,3,20.0073,20.4683
S,2,20211109 11:10:43,11:10:43,a,3,0.001722719,1.722719045,9.968404936,413.518,329.5484323,0.210555074,21.1533642,20.1811,65.03800627,0.84719027,-75.97190989,-23.85113704,1500,3,19.9966,20.1811
S,2,20211109 11:12:50,11:12:50,a,4,0.002083112,2.083111576,9.545236694,413.715,342.8212267,0.244496883,21.04662346,20.4035,64.64777399,0.888691416,-91.86522051,-51.84834062,1499.99,3,20.0018,20.4035
S,2,20211109 11:19:01,11:19:01,a,5,0.002504389,2.504389324,10.94220928,412.827,346.7644954,0.305356662,20.89567073,20.3134,65.08134948,0.866471012,-110.4435692,-42.22022262,1500,3,19.988,20.3134
S,2,20211109 11:21:35,11:21:35,a,6,0.003038097,3.038096793,13.00738292,411.474,345.8399176,0.37034383,20.75253745,20.351,64.7013469,0.878885736,-133.9800686,-44.10329466,1500.01,3,20.0099,20.351
S,2,20211109 11:24:17,11:24:17,a,7,0.003069459,3.069459499,11.48535496,412.353,357.9029069,0.401634469,20.73321898,20.048,65.16831266,0.824150275,-135.3631639,-5.949203235,1500,3,20.0021,20.048
S,2,20211109 11:26:27,11:26:27,a,8,0.004596437,4.596437313,16.8697127,408.783,364.0550979,0.767308209,20.23950287,19.1517,65.27283113,0.695627102,-202.7028855,108.1746308,1500,3,19.9875,19.1517
S,2,20211109 11:28:46,11:28:46,a,9,0.003248816,3.24881635,9.933963042,413.257,366.8847493,0.418292151,20.68135595,20.0755,64.6245242,0.840546401,-143.272801,-8.988492081,1500,3,20.0061,20.0755
S,2,20211109 11:32:28,11:32:28,a,10,0.002383718,2.383717586,11.71476251,412.372,339.5126764,0.293014776,20.94003916,20.2471,65.04779988,0.857428616,-105.1219455,-33.32324505,1500,3,19.9885,20.2471
S,2,20211109 11:38:31,11:38:31,c,1,0.000428752,0.428751805,2.941054177,418.103,311.572908,0.046954451,21.5666482,20.5838,64.84482315,0.910798111,-18.90795461,-75.04869402,1500.01,3,20.0037,20.5838
S,2,20211109 11:43:09,11:43:09,c,2,0.000596678,0.596678106,4.542280941,417.796,302.7358186,0.066953964,21.34630577,20.4469,64.96800288,0.891741407,-26.31350447,-69.24956431,1500,2.25,19.9582,20.4469
S,2,20211109 11:50:12,11:50:12,c,3,0.000989727,0.989727205,3.748399517,418.176,356.5666667,0.109415306,21.27536294,20.5999,64.84708224,0.91293461,-43.64696972,-84.5107946,1500,2.25,20.0061,20.5999
S,2,20211109 11:46:49,11:46:49,c,4,0.000647854,0.647853578,4.40899137,417.215,309.8097434,0.070149553,21.48805857,20.7155,65.0917285,0.925762085,-28.57034277,-93.35268836,1500,3,19.9938,20.7155
S,2,20211109 11:54:16,11:54:16,c,5,0.00070899,0.708989526,4.628838487,417.062,313.3125251,0.07651941,21.46857652,20.7388,65.05128274,0.930194721,-31.2664381,-96.36091441,1500,3,19.9942,20.7388
S,2,20211109 11:57:33,11:57:33,c,6,0.000887088,0.887088387,4.627493889,416.93,337.5022947,0.101979975,21.41657816,20.4369,65.32940271,0.878352658,-39.12059786,-57.09070069,1500,3,19.9945,20.4369
S,2,20211109 12:00:20,12:00:20,c,7,0.001558529,1.558529491,7.095741436,415.375,353.9349906,0.208633976,21.19113008,19.7168,65.38713825,0.772645298,-68.73115057,35.03358855,1500,3,19.9868,19.7168
S,2,20211109 12:02:49,12:02:49,c,8,0.000804667,0.804667047,4.104947404,417.338,337.2779418,0.08967027,21.4367182,20.5856,65.22092425,0.903462857,-35.48581678,-76.8812592,1500,3,19.9908,20.5856
S,2,20211109 12:05:27,12:05:27,c,9,0.000659317,0.659316646,3.294646746,417.845,341.3962503,0.075299802,21.49316464,20.384,64.9494123,0.878802552,-29.07586407,-49.49612671,1500,3,20.0009,20.384
S,2,20211109 12:09:49,12:09:49,c,10,0.000886334,0.886334172,3.180181237,417.863,360.7382673,0.100704207,21.36682528,20.4686,65.2932713,0.888250478,-39.08733699,-67.30168404,1500,3,19.9488,20.4686
S,2,20211116 10:44:27,10:44:27,c,1,0.000804358,0.804358408,7.326517964,416.458,306.4044156,0.112990568,21.31911198,19.9064,68.72687641,0.720491934,-35.4722058,13.05299879,1500,2.25,19.998,19.9064
S,2,20211116 11:30:54,11:30:54,c,2,0.000874948,0.874947894,3.310063854,418.347,363.353282,0.10833313,21.27736843,19.9278,64.86992586,0.81674019,-38.58520211,5.951836705,1500,2.25,19.9698,19.9278
S,2,20211116 11:16:27,11:16:27,c,3,0.000437736,0.437735511,4.231056411,417.786,264.1370462,0.045998657,21.37173995,20.7633,64.68471911,0.949618743,-19.30413602,-118.0228856,1500,2.4,19.9183,20.7633
S,2,20211116 11:01:25,11:01:25,c,4,0.000548848,0.548847961,4.232488139,416.932,305.0092042,0.064144286,21.51534662,20.2777,65.19157969,0.858690475,-24.20419507,-37.5035913,1500,3,19.9872,20.2777
S,2,20211116 11:04:29,11:04:29,c,5,0.000603969,0.603969235,4.29232386,416.946,308.898397,0.06770514,21.50111694,20.5145,65.09749583,0.895713374,-26.63504325,-67.63185539,1500,3,19.9908,20.5145
S,2,20211116 11:08:54,11:08:54,c,6,0.000494019,0.494018922,3.749556794,418.121,304.5560542,0.055899279,21.35717051,20.398,65.04938085,0.883876772,-21.78623448,-64.53147888,1500,2.25,19.9443,20.398
S,2,20211116 11:19:37,11:19:37,c,7,0.000433039,0.433039117,3.539409112,417.785,288.246755,0.046019083,21.54502941,20.6804,64.28444135,0.939700657,-19.09702507,-89.6872748,1500,3,19.9906,20.6804
S,2,20211116 11:22:58,11:22:58,c,8,0.000640527,0.640526651,3.952351844,417.454,317.2308794,0.067751464,21.49729099,20.81,64.70632986,0.948643111,-28.24722532,-104.7829013,1500,3,19.9988,20.81
S,2,20211116 11:26:03,11:26:03,c,9,0.00044371,0.443710062,2.774327207,418.206,319.989939,0.048321605,21.57023817,20.5488,64.29853344,0.917609489,-19.56761373,-69.4559159,1500.03,3,20.0119,20.5488
S,2,20211116 10:50:32,10:50:32,c,10,0.000889183,0.889183247,5.044718526,416.512,328.2125492,0.099249873,21.37497346,20.5845,65.07145447,0.905186449,-39.21298118,-77.61443915,1500,2.7,20.0079,20.5845
S,2,20211116 11:38:16,11:38:16,a,1,0.003550457,3.550456919,13.60226467,410.941,350.8141545,0.431903629,20.55126009,20.441,64.83080971,0.893105826,-156.5751501,-60.93954802,1500,3,19.9685,20.441
S,2,20211116 11:43:56,11:43:56,a,2,0.002045274,2.045274213,7.588624278,414.935,358.4494483,0.249089957,21.05775297,20.2102,64.74171458,0.858246074,-90.1965928,-27.26579125,1500.02,3,19.9984,20.2102
S,2,20211116 11:47:18,11:47:18,a,3,0.003740277,3.74027704,11.16354419,412.421,370.0164576,0.525767853,20.51289597,19.7253,64.75831127,0.788220387,-164.9462175,34.3177094,1500,3,19.9909,19.7253
S,2,20211116 11:50:24,11:50:24,a,4,0.002253217,2.253216909,12.51716477,411.996,338.5998235,0.309021517,20.97475066,19.6541,65.02906087,0.771989814,-99.36686568,43.27391934,1500,3,19.9878,19.6541
